Name,Collection,Date,Year,Last Worked On,Description,Time Worked,Tempo,FL Version,Plugins,Plugin Count,Versions,Samples,Size MB
Metal Pipe Type Beat,!Producer Club,2023-05-04,2023,2023-05-29,,17h 20m,200.0,21.0.0.3329,"CamelCrusher, Decapitator, FabFilter Pro-C 2, FabFilter Pro-L 2, Guitar Rig 6, kHs Delay, kHs Frequency Shifter, kHs Gain, kHs Resonator, kHs Tape Stop, kHs Transient Shaper, Little AlterBoy, OTT, Ozone Imager 2, PanCake2, RoughRider3, Serum, TAL-Filter-2, The Glue, TruePianos, TX16Wx, ValhallaSupermassive, Vital",23,2,173,4124.9
嗨嗨嗨,,2023-05-06,2023,2023-06-21,,10h 30m,220.0,21.0.0.3329,"CamelCrusher, EchoBoy, FabFilter Pro-C 2, FabFilter Pro-Q 3, Glitch2, Keyzone, OTT, Serum",8,1,31,393.4
HiTech,,2023-05-11,2023,2024-05-10,,1h 58m,185.0,21.0.0.3329,"FabFilter Saturn, kHs Delay, OTT, Ozone 8 Imager, Ozone Imager 2, Serum, TAL-Filter-2",7,1,66,56.0
Hitech 2nd,HiTech,2023-05-26,2023,2026-01-30,,8h 10m,175.0,24.2.2.4597,"CamelCrusher, Crystallizer, Keyzone Classic, kHs Bitcrush, kHs Compressor, OTT, Serum, TAL-Filter-2",8,1,38,35.9
bocchi the remixs,孤独摇滚,2023-05-28,2023,2023-05-28,,0h 26m,123.0,21.0.0.3329,"CamelCrusher, Vinyl",2,1,3,10.2
Epic Opening,!Producer Club,2023-05-29,2023,2026-05-04,,25h 45m,214.0,21.0.0.3329,"Crystallizer, DecentSampler, FabFilter Pro-C 2, FabFilter Pro-L 2, OTT, Ozone Imager 2, Serum, Sylenth1, Tremolator, TruePianos",10,3,183,421.1
Static,!Producer Club,2023-05-29,2023,2023-06-24,,26h 05m,214.0,21.0.0.3329,"CamelCrusher, Crystallizer, DecentSampler, FabFilter Pro-C 2, FabFilter Pro-L 2, kHs Bitcrush, kHs Frequency Shifter, kHs Tape Stop, OTT, Ozone 8 Imager, Ozone Imager 2, PanCake2, Serum, Sylenth1, TAL-Filter-2, The Glue, Tremolator, TruePianos, Youlean Loudness Meter 2",19,1,106,176.3
Static,!Producer Club,2023-05-29,2023,2023-07-02,,30h 15m,196.0,21.0.0.3329,"CamelCrusher, Crystallizer, DecentSampler, FabFilter Pro-C 2, FabFilter Pro-L 2, kHs Bitcrush, kHs Frequency Shifter, kHs Tape Stop, OTT, Ozone 8 Imager, Ozone Imager 2, PanCake2, Serum, Sylenth1, TAL-Filter-2, The Glue, Tremolator, TruePianos, Youlean Loudness Meter 2",19,2,38,91.0
Fall Spring Telephone,!Producer Club,2023-06-01,2023,2023-06-01,,1h 08m,256.0,21.0.0.3329,"Crystallizer, Decapitator, FabFilter Pro-L 2, OTT, Serum, TAL-Filter-2",6,1,17,67.4
Artcore,,2023-06-07,2023,2023-06-07,,0h 06m,165.0,21.0.0.3329,,0,1,1,1.1
More Wubs,,2023-06-13,2023,2023-07-17,,4h 28m,150.0,21.0.0.3329,"CamelCrusher, Decapitator, FabFilter Pro-L 2, kHs Bitcrush, OTT, Serum, The Glue, Vital, Youlean Loudness Meter 2",9,1,31,26.6
GeoXx,,2023-06-21,2023,2024-10-27,,5h 05m,128.0,21.2.3.4004,"CamelCrusher, Decapitator, kHs Delay, OTT, Serum, TAL-Filter-2, The Glue, TruePianos",8,1,43,64.5
Complextro1,,2023-06-25,2023,2026-01-30,,4h 42m,128.0,24.2.2.4597,"CamelCrusher, Keyzone Classic, kHs Delay, kHs Tape Stop, OTT, Serum",6,1,46,17.1
Make it Disappear,,2023-06-30,2023,2025-02-22,,15h 10m,196.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, FabFilter Saturn, FreeAMP, Guitar Rig 6, kHs Gain, OTT, Serum, sforzando, TAL-Filter-2, The Glue, TruePianos",14,2,220,742.7
Pandemonium Remake,,2023-07-07,2023,2023-07-08,,1h 03m,200.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, kHs Distortion, kHs Gain, OTT, Serum, TruePianos",7,1,10,12.0
Blue Archives,,2023-07-08,2023,2024-10-19,,11h 19m,204.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, OTT, Ozone 8 Imager, Serum, Solaris, Sylenth1, TAL-Filter-2, TruePianos",9,2,116,185.6
Project Bass,,2023-07-30,2023,2024-04-25,,1h 56m,180.0,21.2.3.4004,"CamelCrusher, kHs Transient Shaper, OTT, Ozone 8 Imager, Serum, TAL-Filter-2, The Glue",7,1,6,3.5
Progressive from old time,,2023-08-17,2023,2024-08-11,,1h 38m,128.0,21.2.3.4004,"CamelCrusher, Keyzone Classic, Serum, TAL-Filter-2",4,1,0,0.2
Shooting Star,,2023-08-22,2023,2024-08-13,,0h 52m,110.0,21.0.0.3329,"DecentSampler, OTT, Serum, TruePianos",4,1,0,0.2
08232023 Kawaii Bass,,2023-08-23,2023,2026-06-18,,14h 30m,184.0,21.2.3.4004,"CamelCrusher, DecentSampler, kHs Gain, OTT, Serum, Sylenth1, TruePianos",7,4,15,81.2
08272023 Niflheimr,,2023-08-27,2023,2024-09-02,,2h 04m,230.0,21.2.3.4004,"CamelCrusher, Keyzone Classic, OTT, Serum, TAL-Filter-2, The Glue",6,1,5,2.4
Template 6 Bus,,2023-08-31,2023,2023-08-31,,0h 04m,198.0,21.0.0.3329,"FabFilter Pro-L 2, kHs Gain, TAL-Filter-2, Youlean Loudness Meter 2",4,1,7,27.5
swing,,2023-09-09,2023,2023-09-10,,0h 33m,128.0,21.0.0.3329,"FabFilter Pro-L 2, Keyzone Classic, kHs Gain, OTT, TAL-Filter-2, Youlean Loudness Meter 2",6,1,0,6.3
Memories of Kindness,Blue Archives,2023-09-11,2023,2023-10-22,,1h 48m,80.0,21.0.0.3329,"FabFilter Pro-L 2, Keyzone Classic, kHs Gain, TAL-Filter-2, Youlean Loudness Meter 2",5,1,2,23.0
T.B.S._2,,2023-09-12,2023,2025-02-02,,7h 14m,208.0,24.2.1.4526,"BBC Symphony Orchestra (64 Bit), CamelCrusher, Keyzone Classic, kHs Gain, kHs Resonator, OTT, PanCake2, Serum, Solaris, TAL-Filter-2, Youlean Loudness Meter 2",11,2,10,12.4
MIDNIGHT BASS PARTY,,2023-09-15,2023,2023-11-30,,1h 53m,150.0,21.2.1.3859,"CamelCrusher, kHs Gain, OTT, Serum, TAL-Filter-2, Youlean Loudness Meter 2",6,1,0,0.2
Guitar Takes,Make it Disappear,2023-09-17,2023,2023-09-24,,2h 08m,196.0,21.0.0.3329,"Decapitator, Devil-Loc Deluxe, FabFilter Saturn, kHs Pitch Shifter, OTT",5,1,127,179.0
Midtempo w. Eric,!Producer Club,2023-09-24,2023,2023-10-14,,2h 05m,104.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, kHs Bitcrush, kHs Gain, kHs Tape Stop, OTT, Ozone 8 Imager, Ozone Imager 2, TAL-Filter-2, Vital, Youlean Loudness Meter 2",11,1,2,5.0
camellia type ost,,2023-10-03,2023,2024-10-03,,1h 03m,212.0,21.2.3.4004,"Keyzone Classic, kHs Gain, Serum, TAL-Filter-2, Youlean Loudness Meter 2",5,1,0,0.2
